Navn,Parti,Stemme
Pia Adelsteen,DF,For
Yildiz Akdogan,S,Imod
Erling Bonnesen,V,For
Henrik Brodersen,DF,For
Bent Bøgsted,DF,For
René Christensen,DF,For
Villum Christensen,LA,For
Kim Christiansen,DF,For
Louise Schack Elholm,V,For
Benny Engelbrecht,S,For
Mette Gjerskov,S,Imod
Marlene Harpsøe,DF,For
Martin Henriksen,DF,For
Magnus Heunicke,S,For
Per Husted,S,For
Nick Hækkerup,S,For
Karsten Hønge,SF,Imod
Rasmus Jarlov,KF,For
Jacob Jensen,V,For
Leif Lahn Jensen,S,For
Peter Juel Jensen,V,For
Naser Khader,KF,For
Karen J. Klint,S,For
Bjarne Laustsen,S,For
Kristian Pihl Lorentzen,V,For
Ellen Trane Nørby,V,For
Jesper Petersen,S,For
Ib Poulsen,DF,For
Rasmus Prehn,S,For
Johanne Schmidt-Nielsen,EL,Imod
Hans Kristian Skibby,DF,For
Julie Skovsby,S,For
Hans Christian Thoning,V,For
Hans Christian Schmidt,V,For
Inger Støjberg,V,For
Søren Pind,V,For
Karen Ellemann,V,For
Kenneth Kristensen Berth,DF,For
Karina Adsbøl,DF,For
Hans Andersen,V,For
Mette Bock,LA,For
Trine Bramsen,S,For
Stine Brix,EL,Imod
Thomas Danielsen,V,For
Mette Hjermind Dencker,DF,For
Uffe Elbæk,ALT,Imod
Jakob Ellemann-Jensen,V,For
Jane Heitmann,V,For
Preben Bang Henriksen,V,For
Henning Hyllested,EL,Imod
Jens Joel,S,For
Jan Johansen,S,For
Jan E. Jørgensen,V,For
Morten Marinus,DF,For
Simon Kollerup,S,For
Marie Krarup,DF,For
Christian Langballe,DF,For
Rasmus Horn Langhoff,S,For
Anni Matthiesen,V,For
Leif Mikkelsen,LA,For
Sofie Carsten Nielsen,RV,Imod
Ole Birk Olesen,LA,For
Lisbeth Bech Poulsen,SF,Imod
Troels Ravn,S,For
Mette Reissmann,S,For
Lotte Rod,RV,Imod
Pernille Rosenkrantz-Theil,S,For
Pernille Skipper,EL,Imod
Andreas Steenberg,RV,Imod
Finn Sørensen,EL,Imod
Nicolai Wammen,S,For
Merete Dea Larsen,DF,For
Daniel Toft Jakobsen,S,Imod
Laura Lindahl,LA,For
Dan Jørgensen,S,For
Susanne Eilersen,DF,For
Mette Abildgaard,KF,For
Carsten Bach,LA,For
Britt Bager,V,For
Lise Bech,DF,For
Tilde Bork,DF,For
Jan Rytkjær Callesen,DF,For
Erik Christensen,S,For
Henrik Dahl,LA,For
Pelle Dragsted,EL,Imod
Josephine Fock,ALT,Imod
René Gade,ALT,Imod
Søren Gade,V,For
Torsten Gejl,ALT,Imod
Maria Reumert Gjerding,EL,Imod
Jeppe Jakobsen,DF,For
May-Britt Kattrup,LA,For
Marcus Knuth,V,For
Aaja Chemnitz Larsen,IA,Hverken for eller imod
Rune Lund,EL,Imod
Christian Rabjerg Madsen,S,For
Carolina Magdalene Maier,ALT,Imod
Jacob Mark,SF,Imod
Søren Pape Poulsen,KF,For
Christian Poll,ALT,Imod
Peter Kofod Poulsen,DF,For
Søren Egge Rasmussen,EL,Imod
Mattias Tesfaye,S,For
Peter Hummelgaard Thomsen,S,For
Trine Torp,SF,Imod
Nikolaj Amstrup,ALT,Imod
Kasper Roug,S,For
Malte Larsen,S,For
Emrah Tuncer,RV,Imod
Claus Hjort Frederiksen,V,Fraværende
